"","dep","typequ","nb_2012","nb_2017","P13_POP_sum_pop","year","per_inhabitant"
"1","01","A104",47,42,619497,"2012",7.58680025891974e-05
"2","01","A105",0,0,619497,"2012",0
"3","01","A106",1,1,619497,"2012",1.61421282104675e-06
"4","01","A107",4,4,619497,"2012",6.45685128418701e-06
"5","01","A108",3,3,619497,"2012",4.84263846314026e-06
"6","01","A109",1,1,619497,"2012",1.61421282104675e-06
"7","01","A206",93,77,619497,"2012",0.000150121792357348
"8","01","A208",45,52,619497,"2012",7.26395769471039e-05
"9","02","A104",40,37,540067,"2012",7.40648845421031e-05
"10","02","A105",0,0,540067,"2012",0
"11","02","A106",3,3,540067,"2012",5.55486634065773e-06
"12","02","A107",3,3,540067,"2012",5.55486634065773e-06
"13","02","A108",3,3,540067,"2012",5.55486634065773e-06
"14","02","A109",2,2,540067,"2012",3.70324422710516e-06
"15","02","A206",95,87,540067,"2012",0.000175904100787495
"16","02","A208",68,76,540067,"2012",0.000125910303721575
"17","03","A104",29,26,343431,"2012",8.44419985382799e-05
"18","03","A105",0,0,343431,"2012",0
"19","03","A106",3,3,343431,"2012",8.7353791591324e-06
"20","03","A107",3,3,343431,"2012",8.7353791591324e-06
"21","03","A108",3,3,343431,"2012",8.7353791591324e-06
"22","03","A109",2,2,343431,"2012",5.82358610608827e-06
"23","03","A206",94,68,343431,"2012",0.000273708546986149
"24","03","A208",69,87,343431,"2012",0.000200913720660045
"25","04","A104",29,28,161916,"2012",0.000179105215049779
"26","04","A105",0,0,161916,"2012",0
"27","04","A106",1,1,161916,"2012",6.17604189826824e-06
"28","04","A107",2,2,161916,"2012",1.23520837965365e-05
"29","04","A108",1,1,161916,"2012",6.17604189826824e-06
"30","04","A109",1,1,161916,"2012",6.17604189826824e-06
"31","04","A206",54,51,161916,"2012",0.000333506262506485
"32","04","A208",41,43,161916,"2012",0.000253217717828998
"33","05","A104",22,20,139279,"2012",0.000157956332253965
"34","05","A105",0,0,139279,"2012",0
"35","05","A106",1,1,139279,"2012",7.17983328427114e-06
"36","05","A107",1,1,139279,"2012",7.17983328427114e-06
"37","05","A108",1,1,139279,"2012",7.17983328427114e-06
"38","05","A109",1,1,139279,"2012",7.17983328427114e-06
"39","05","A206",45,38,139279,"2012",0.000323092497792201
"40","05","A208",44,51,139279,"2012",0.00031591266450793
"41","06","A104",40,38,1080771,"2012",3.70106155698108e-05
"42","06","A105",0,0,1080771,"2012",0
"43","06","A106",2,2,1080771,"2012",1.85053077849054e-06
"44","06","A107",6,6,1080771,"2012",5.55159233547162e-06
"45","06","A108",3,3,1080771,"2012",2.77579616773581e-06
"46","06","A109",4,4,1080771,"2012",3.70106155698108e-06
"47","06","A206",138,127,1080771,"2012",0.000127686623715847
"48","06","A208",62,66,1080771,"2012",5.73664541332068e-05
"49","07","A104",35,31,320379,"2012",0.000109245612228017
"50","07","A105",0,0,320379,"2012",0
"51","07","A106",1,1,320379,"2012",3.12130320651478e-06
"52","07","A107",3,3,320379,"2012",9.36390961954435e-06
"53","07","A108",2,2,320379,"2012",6.24260641302957e-06
"54","07","A109",1,1,320379,"2012",3.12130320651478e-06
"55","07","A206",74,65,320379,"2012",0.000230976437282094
"56","07","A208",92,95,320379,"2012",0.00028715989499936
"57","08","A104",35,31,280907,"2012",0.000124596396672208
"58","08","A105",0,0,280907,"2012",0
"59","08","A106",1,1,280907,"2012",3.55989704777738e-06
"60","08","A107",2,2,280907,"2012",7.11979409555476e-06
"61","08","A108",1,1,280907,"2012",3.55989704777738e-06
"62","08","A109",1,1,280907,"2012",3.55989704777738e-06
"63","08","A206",58,51,280907,"2012",0.000206474028771088
"64","08","A208",32,35,280907,"2012",0.000113916705528876
"65","09","A104",20,19,152684,"2012",0.00013098949464253
"66","09","A105",0,0,152684,"2012",0
"67","09","A106",1,1,152684,"2012",6.54947473212648e-06
"68","09","A107",2,2,152684,"2012",1.3098949464253e-05
"69","09","A108",1,1,152684,"2012",6.54947473212648e-06
"70","09","A109",1,1,152684,"2012",6.54947473212648e-06
"71","09","A206",63,45,152684,"2012",0.000412616908123968
"72","09","A208",36,53,152684,"2012",0.000235781090356553
"73","10","A104",28,26,306581,"2012",9.13298606241091e-05
"74","10","A105",0,0,306581,"2012",0
"75","10","A106",1,1,306581,"2012",3.26178073657533e-06
"76","10","A107",1,1,306581,"2012",3.26178073657533e-06
"77","10","A108",1,1,306581,"2012",3.26178073657533e-06
"78","10","A109",1,1,306581,"2012",3.26178073657533e-06
"79","10","A206",46,42,306581,"2012",0.000150041913882465
"80","10","A208",25,31,306581,"2012",8.15445184143831e-05
"81","11","A104",34,33,364877,"2012",9.3182086018028e-05
"82","11","A105",0,0,364877,"2012",0
"83","11","A106",2,2,364877,"2012",5.48129917753106e-06
"84","11","A107",2,2,364877,"2012",5.48129917753106e-06
"85","11","A108",2,2,364877,"2012",5.48129917753106e-06
"86","11","A109",2,2,364877,"2012",5.48129917753106e-06
"87","11","A206",119,111,364877,"2012",0.000326137301063098
"88","11","A208",103,110,364877,"2012",0.00028228690764285
"89","12","A104",44,40,277740,"2012",0.000158421545330165
"90","12","A105",0,0,277740,"2012",0
"91","12","A106",1,2,277740,"2012",3.60048966659466e-06
"92","12","A107",2,2,277740,"2012",7.20097933318931e-06
"93","12","A108",2,2,277740,"2012",7.20097933318931e-06
"94","12","A109",1,1,277740,"2012",3.60048966659466e-06
"95","12","A206",80,58,277740,"2012",0.000288039173327573
"96","12","A208",95,112,277740,"2012",0.000342046518326492
"97","13","A104",35,33,1993177.00252119,"2012",1.75599055958042e-05
"98","13","A105",1,1,1993177.00252119,"2012",5.01711588451549e-07
"99","13","A106",3,3,1993177.00252119,"2012",1.50513476535465e-06
"100","13","A107",6,6,1993177.00252119,"2012",3.01026953070929e-06
"101","13","A108",4,4,1993177.00252119,"2012",2.00684635380619e-06
"102","13","A109",4,4,1993177.00252119,"2012",2.00684635380619e-06
"103","13","A206",212,209,1993177.00252119,"2012",0.000106362856751728
"104","13","A208",10,12,1993177.00252119,"2012",5.01711588451549e-06
"105","14","A104",40,35,689945,"2012",5.79756357390807e-05
"106","14","A105",1,1,689945,"2012",1.44939089347702e-06
"107","14","A106",2,2,689945,"2012",2.89878178695403e-06
"108","14","A107",3,3,689945,"2012",4.34817268043105e-06
"109","14","A108",2,2,689945,"2012",2.89878178695403e-06
"110","14","A109",2,2,689945,"2012",2.89878178695403e-06
"111","14","A206",120,103,689945,"2012",0.000173926907217242
"112","14","A208",47,63,689945,"2012",6.81213719934198e-05
"113","15","A104",27,27,147035,"2012",0.000183629748019179
"114","15","A105",0,0,147035,"2012",0
"115","15","A106",1,1,147035,"2012",6.80110177848811e-06
"116","15","A107",2,2,147035,"2012",1.36022035569762e-05
"117","15","A108",1,1,147035,"2012",6.80110177848811e-06
"118","15","A109",1,1,147035,"2012",6.80110177848811e-06
"119","15","A206",43,33,147035,"2012",0.000292447376474989
"120","15","A208",58,71,147035,"2012",0.000394463903152311
"121","16","A104",30,27,353482,"2012",8.48699509451684e-05
"122","16","A105",0,0,353482,"2012",0
"123","16","A106",1,1,353482,"2012",2.82899836483894e-06
"124","16","A107",2,2,353482,"2012",5.65799672967789e-06
"125","16","A108",1,1,353482,"2012",2.82899836483894e-06
"126","16","A109",1,1,353482,"2012",2.82899836483894e-06
"127","16","A206",72,69,353482,"2012",0.000203687882268404
"128","16","A208",95,97,353482,"2012",0.0002687548446597
"129","17","A104",43,39,633417,"2012",6.78857687747566e-05
"130","17","A105",0,0,633417,"2012",0
"131","17","A106",2,2,633417,"2012",3.15747761743054e-06
"132","17","A107",4,4,633417,"2012",6.31495523486108e-06
"133","17","A108",3,3,633417,"2012",4.73621642614581e-06
"134","17","A109",2,2,633417,"2012",3.15747761743054e-06
"135","17","A206",113,102,633417,"2012",0.000178397485384825
"136","17","A208",111,117,633417,"2012",0.000175240007767395
"137","18","A104",27,26,311650,"2012",8.66356489651853e-05
"138","18","A105",1,1,311650,"2012",3.20872773945131e-06
"139","18","A106",1,1,311650,"2012",3.20872773945131e-06
"140","18","A107",2,2,311650,"2012",6.41745547890261e-06
"141","18","A108",1,1,311650,"2012",3.20872773945131e-06
"142","18","A109",1,1,311650,"2012",3.20872773945131e-06
"143","18","A206",68,58,311650,"2012",0.000218193486282689
"144","18","A208",75,90,311650,"2012",0.000240654580458848
"145","19","A104",29,28,240781,"2012",0.000120441396954079
"146","19","A105",0,0,240781,"2012",0
"147","19","A106",1,2,240781,"2012",4.15315161910616e-06
"148","19","A107",2,2,240781,"2012",8.30630323821232e-06
"149","19","A108",2,2,240781,"2012",8.30630323821232e-06
"150","19","A109",1,1,240781,"2012",4.15315161910616e-06
"151","19","A206",82,65,240781,"2012",0.000340558432766705
"152","19","A208",71,88,240781,"2012",0.000294873764956537
"153","21","A104",37,31,529761,"2012",6.9842815911326e-05
"154","21","A105",1,1,529761,"2012",1.88764367327908e-06
"155","21","A106",1,1,529761,"2012",1.88764367327908e-06
"156","21","A107",3,3,529761,"2012",5.66293101983725e-06
"157","21","A108",1,1,529761,"2012",1.88764367327908e-06
"158","21","A109",1,1,529761,"2012",1.88764367327908e-06
"159","21","A206",83,69,529761,"2012",0.000156674424882164
"160","21","A208",76,87,529761,"2012",0.00014346091916921
"161","22","A104",45,38,597085,"2012",7.53661538976863e-05
"162","22","A105",0,0,597085,"2012",0
"163","22","A106",1,2,597085,"2012",1.67480341994858e-06
"164","22","A107",3,3,597085,"2012",5.02441025984575e-06
"165","22","A108",3,3,597085,"2012",5.02441025984575e-06
"166","22","A109",1,1,597085,"2012",1.67480341994858e-06
"167","22","A206",125,117,597085,"2012",0.000209350427493573
"168","22","A208",73,83,597085,"2012",0.000122260649656247
"169","23","A104",25,24,120872,"2012",0.000206830366007016
"170","23","A105",0,0,120872,"2012",0
"171","23","A106",1,1,120872,"2012",8.27321464028063e-06
"172","23","A107",1,1,120872,"2012",8.27321464028063e-06
"173","23","A108",1,1,120872,"2012",8.27321464028063e-06
"174","23","A109",1,1,120872,"2012",8.27321464028063e-06
"175","23","A206",62,55,120872,"2012",0.000512939307697399
"176","23","A208",50,52,120872,"2012",0.000413660732014031
"177","24","A104",49,45,416909,"2012",0.000117531643596085
"178","24","A105",0,0,416909,"2012",0
"179","24","A106",2,2,416909,"2012",4.79720994269733e-06
"180","24","A107",3,3,416909,"2012",7.19581491404599e-06
"181","24","A108",2,2,416909,"2012",4.79720994269733e-06
"182","24","A109",2,2,416909,"2012",4.79720994269733e-06
"183","24","A206",117,94,416909,"2012",0.000280636781647794
"184","24","A208",109,130,416909,"2012",0.000261447941877004
"185","25","A104",36,34,533320,"2012",6.75016875421885e-05
"186","25","A105",1,1,533320,"2012",1.8750468761719e-06
"187","25","A106",2,2,533320,"2012",3.75009375234381e-06
"188","25","A107",3,3,533320,"2012",5.62514062851571e-06
"189","25","A108",2,2,533320,"2012",3.75009375234381e-06
"190","25","A109",1,1,533320,"2012",1.8750468761719e-06
"191","25","A206",91,76,533320,"2012",0.000170629265731643
"192","25","A208",40,50,533320,"2012",7.50018750468762e-05
"193","26","A104",36,35,494712,"2012",7.27696114102751e-05
"194","26","A105",0,0,494712,"2012",0
