"","DEP","typequ","nb_2012","nb_2017","2012","2017"
"1","01","D101",12,13,1.9370553852561e-05,2.09847666736078e-05
"2","01","D102",21,22,3.38984692419818e-05,3.55126820630286e-05
"3","01","D103",6,7,9.68527692628052e-06,1.12994897473273e-05
"4","01","D104",9,7,1.45279153894208e-05,1.12994897473273e-05
"5","01","D106",5,5,8.07106410523376e-06,8.07106410523376e-06
"6","01","D107",4,4,2.49841820192763e-05,2.49841820192763e-05
"7","01","D109",39,39,6.29543000208234e-05,6.29543000208234e-05
"8","02","D101",15,12,2.77743317032887e-05,2.22194653626309e-05
"9","02","D102",14,12,2.59227095897361e-05,2.22194653626309e-05
"10","02","D103",7,6,1.2961354794868e-05,1.11097326813155e-05
"11","02","D104",20,20,3.70324422710516e-05,3.70324422710516e-05
"12","02","D106",8,8,1.48129769084206e-05,1.48129769084206e-05
"13","02","D107",6,6,4.82278551761645e-05,4.82278551761645e-05
"14","02","D109",24,24,4.44389307252619e-05,4.44389307252619e-05
"15","03","D101",10,8,2.91179305304413e-05,2.32943444243531e-05
"16","03","D102",10,8,2.91179305304413e-05,2.32943444243531e-05
"17","03","D103",5,4,1.45589652652207e-05,1.16471722121765e-05
"18","03","D104",11,9,3.20297235834855e-05,2.62061374773972e-05
"19","03","D106",4,4,1.16471722121765e-05,1.16471722121765e-05
"20","03","D107",4,3,5.09476767733324e-05,3.82107575799993e-05
"21","03","D109",4,4,1.16471722121765e-05,1.16471722121765e-05
"22","04","D101",9,8,5.55843770844141e-05,4.94083351861459e-05
"23","04","D102",14,13,8.64645865757553e-05,8.02885446774871e-05
"24","04","D103",2,2,1.23520837965365e-05,1.23520837965365e-05
"25","04","D104",1,5,6.17604189826824e-06,3.08802094913412e-05
"26","04","D106",3,3,1.85281256948047e-05,1.85281256948047e-05
"27","04","D107",2,2,5.10270720542441e-05,5.10270720542441e-05
"28","04","D109",1,1,6.17604189826824e-06,6.17604189826824e-06
"29","05","D101",7,6,5.0258832989898e-05,4.30789997056268e-05
"30","05","D102",20,14,0.000143596665685423,0.000100517665979796
"31","05","D103",4,4,2.87193331370846e-05,2.87193331370846e-05
"32","05","D104",5,7,3.58991664213557e-05,5.0258832989898e-05
"33","05","D106",3,3,2.15394998528134e-05,2.15394998528134e-05
"34","05","D107",2,2,5.32491271217139e-05,5.32491271217139e-05
"35","05","D109",2,16,1.43596665685423e-05,0.000114877332548338
"36","06","D101",32,29,2.96084924558486e-05,2.68326962881128e-05
"37","06","D102",37,38,3.4234819402075e-05,3.51600847913203e-05
"38","06","D103",8,9,7.40212311396216e-06,8.32738850320743e-06
"39","06","D104",17,18,1.57295116171696e-05,1.66547770064149e-05
